timestamp,event_id,username,source_ip,dest_ip,process,action,details
2025-01-02T03:11:00,4625,mered,192.168.1.250,10.0.0.82,lsass.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-01T08:42:00,1149,mered,192.168.1.62,10.0.0.61,explorer.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-02T05:52:00,4625,analyst,192.168.1.253,10.0.0.208,winword.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-04T19:17:00,4625,user1,192.168.1.27,10.0.0.182,winword.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-03T22:02:00,4625,user1,192.168.1.20,10.0.0.71,cmd.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-04T16:50:00,4625,admin,192.168.1.173,10.0.0.45,winword.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-01T16:33:00,1149,admin,192.168.1.240,10.0.0.148,cmd.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-03T05:34:00,4625,admin,192.168.1.10,10.0.0.121,cmd.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-01T16:29:00,1149,user1,192.168.1.110,10.0.0.11,powershell.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-03T22:23:00,4625,svc-backup,192.168.1.16,10.0.0.56,svchost.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-03T17:16:00,4625,svc-backup,192.168.1.1,10.0.0.108,winword.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-03T14:27:00,4625,admin,192.168.1.138,10.0.0.246,svchost.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-01T18:05:00,4625,analyst,192.168.1.233,10.0.0.141,lsass.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-01T19:07:00,1149,analyst,192.168.1.97,10.0.0.41,explorer.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-03T17:20:00,4625,analyst,192.168.1.150,10.0.0.73,powershell.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T02:45:00,4625,analyst,192.168.1.91,10.0.0.207,explorer.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-03T19:17:00,4625,svc-backup,192.168.1.120,10.0.0.85,svchost.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-02T14:37:00,4625,analyst,192.168.1.167,10.0.0.36,powershell.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-03T01:18:00,4625,admin,192.168.1.174,10.0.0.235,winword.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-03T22:27:00,1149,user1,192.168.1.178,10.0.0.98,explorer.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-01T09:40:00,1149,mered,192.168.1.122,10.0.0.127,powershell.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-04T12:00:00,1149,admin,192.168.1.231,10.0.0.28,svchost.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-03T20:26:00,4625,user1,192.168.1.211,10.0.0.30,explorer.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T03:11:00,4625,svc-backup,192.168.1.127,10.0.0.230,lsass.exe,rdp_failed_login,Simulated log entry for cybersecurity Blueteams
2025-01-04T00:24:00,1149,mered,192.168.1.139,10.0.0.200,lsass.exe,network_bruteforce,Simulated log entry for cybersecurity Blueteams
2025-01-03T18:45:00,4625,analyst,192.168.1.252,10.0.0.131,cmd.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-02T19:16:00,1149,svc-backup,192.168.1.220,10.0.0.161,svchost.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
2025-01-04T16:16:00,1149,analyst,192.168.1.207,10.0.0.246,winword.exe,rdp_auth_attempt,Simulated log entry for cybersecurity Blueteams
