timestamp,event_id,username,source_ip,dest_ip,process,action,details
2025-01-02T08:44:00,5158,admin,192.168.1.127,10.0.0.122,svchost.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T13:37:00,5156,mered,192.168.1.104,10.0.0.94,svchost.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-01T22:29:00,5156,admin,192.168.1.58,10.0.0.11,explorer.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-03T20:13:00,5158,svc-backup,192.168.1.210,10.0.0.142,lsass.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-01T19:19:00,5156,mered,192.168.1.93,10.0.0.173,cmd.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-01T18:45:00,5158,analyst,192.168.1.8,10.0.0.46,lsass.exe,c2_connection,Simulated log entry for cybersecurity Blueteams
2025-01-04T06:58:00,5158,user1,192.168.1.96,10.0.0.138,explorer.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-01T16:46:00,5156,analyst,192.168.1.221,10.0.0.37,svchost.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-02T17:52:00,5156,svc-backup,192.168.1.27,10.0.0.108,cmd.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-04T10:56:00,5158,analyst,192.168.1.23,10.0.0.66,cmd.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-02T22:17:00,5156,user1,192.168.1.163,10.0.0.190,lsass.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T07:17:00,5156,mered,192.168.1.11,10.0.0.61,cmd.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-02T09:27:00,5156,mered,192.168.1.149,10.0.0.8,svchost.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-04T10:42:00,5156,user1,192.168.1.55,10.0.0.80,cmd.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-01T14:27:00,5158,admin,192.168.1.118,10.0.0.9,svchost.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T16:17:00,5158,analyst,192.168.1.157,10.0.0.227,lsass.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-04T13:01:00,5156,analyst,192.168.1.195,10.0.0.216,powershell.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-02T19:13:00,5158,user1,192.168.1.78,10.0.0.235,winword.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-03T15:21:00,5158,mered,192.168.1.144,10.0.0.187,winword.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-04T08:56:00,5156,svc-backup,192.168.1.61,10.0.0.92,svchost.exe,c2_connection,Simulated log entry for cybersecurity Blueteams
2025-01-01T12:36:00,5156,admin,192.168.1.111,10.0.0.249,cmd.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T21:38:00,5156,admin,192.168.1.185,10.0.0.109,explorer.exe,c2_connection,Simulated log entry for cybersecurity Blueteams
2025-01-01T18:47:00,5156,svc-backup,192.168.1.191,10.0.0.128,cmd.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-04T03:24:00,5156,analyst,192.168.1.248,10.0.0.171,cmd.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T05:32:00,5158,admin,192.168.1.108,10.0.0.72,lsass.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T23:23:00,5156,svc-backup,192.168.1.131,10.0.0.186,lsass.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-02T11:15:00,5156,mered,192.168.1.54,10.0.0.69,lsass.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-01T20:10:00,5158,admin,192.168.1.41,10.0.0.196,svchost.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-03T17:26:00,5156,user1,192.168.1.248,10.0.0.152,svchost.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-01T21:04:00,5158,mered,192.168.1.192,10.0.0.8,lsass.exe,c2_connection,Simulated log entry for cybersecurity Blueteams
2025-01-01T20:26:00,5158,user1,192.168.1.219,10.0.0.113,svchost.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-04T08:49:00,5156,analyst,192.168.1.195,10.0.0.129,powershell.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-03T18:07:00,5158,svc-backup,192.168.1.64,10.0.0.34,svchost.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-01T20:09:00,5158,svc-backup,192.168.1.128,10.0.0.8,winword.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-04T08:36:00,5158,svc-backup,192.168.1.224,10.0.0.63,cmd.exe,c2_connection,Simulated log entry for cybersecurity Blueteams
2025-01-03T03:16:00,5158,mered,192.168.1.9,10.0.0.169,cmd.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T16:57:00,5158,svc-backup,192.168.1.48,10.0.0.242,explorer.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-02T03:11:00,5156,svc-backup,192.168.1.31,10.0.0.162,explorer.exe,unusual_port,Simulated log entry for cybersecurity Blueteams
2025-01-03T01:46:00,5156,admin,192.168.1.230,10.0.0.33,cmd.exe,beaconing,Simulated log entry for cybersecurity Blueteams
2025-01-03T14:19:00,5156,mered,192.168.1.26,10.0.0.74,explorer.exe,c2_connection,Simulated log entry for cybersecurity Blueteams
